No.,Designation,Quantity,"Length - raw""","Width - raw""",Thickness - raw,Length - final,Width - final,Thickness - final,Area - final,Material,Instance names,Description,Tags,Edge length 1,Edge length 2,Edge width 1,Edge width 2
A,BASE CAB DR’s,4,"28 7/8""","24 3/32""",1”,"28 7/8""","24 3/32""",1”,,RIFT WHT OAK,BASE CAB DR’s,228 GYM,,,,,
B,UPPER CAB DR’s,5,"47 1/4""","24 3/32""",1”,"47 1/4""","24 3/32""",1”,,RIFT WHT OAK,UPPER CAB DR’s,228 GYM,,,,,
