No.,Designation,Quantity,Length - raw,Width - raw,Thickness - raw,Length - final,Width - final,Thickness - final,Area - final,Material,Instance names,Description,Tags,Edge length 1,Edge length 2,Edge width 1,Edge width 2
A,BASE CAB BACK’s,1,"29""","24 5/32""",1/4”,"29""","24 5/32""",1/4”,,VICENZA OAK,BASE CAB BACK’s,228 GYM,,,,,
B,BASE CAB BACK’s,2,"29""","24 7/32""",1/4”,"29""","24 7/32""",1/4”,,VICENZA OAK,BASE CAB BACK’s,228 GYM,,,,,
C,BASE CAB BACK’s,1,"29""","24 9/32""",1/4”,"29""","24 9/32""",1/4”,,VICENZA OAK,BASE CAB BACK’s,228 GYM,,,,,
