QTY,CustomerName,JobOrder,Name,DESC,LENGTH,WIDTH,THICK,WoodType,Grain,LabelImage,ProgramName,RotationStep,ProgramParameters,AdditionalMargin,Priority,OverProduction
1,biesse,bNest,SHELF_BACK,RECT_Param,1778.0,282.57,7.94,CLEAF_CARBONE,0,SHELF_BACK,RECTparam.bSolid,0,0,0,0,0
1,biesse,bNest,CUBBIES_BACK,RECT_Param,673.1,654.05,7.94,CLEAF_CARBONE,0,CUBBIES_BACK,RECTparam.bSolid,0,0,0,0,0
22,biesse,bNest,CUBBIE_DIVIDER,RECT_Param,531.81,320.67,7.94,CLEAF_CARBONE,0,CUBBIE_DIVIDER,RECTparam.bSolid,0,0,0,0,0
