No.,Designation,Quantity,Length - raw,Width - raw,Thickness - raw,Length - final,Width - final,Thickness - final,Area - final,Material,Instance names,Description,Tags,Edge length 1,Edge length 2,Edge width 1,Edge width 2
A,UPPER CAB BACK’s,1,"44 1/4""","24 5/32""",1/2”,"44 1/4""","24 5/32""",1/2”,,VICENZA OAK,UPPER CAB BACK’s,228 GYM,,,,,
B,UPPER CAB BACK’s,2,"44 1/4""","24 7/32""",1/2”,"44 1/4""","24 7/32""",1/2”,,VICENZA OAK,UPPER CAB BACK’s,228 GYM,,,,,
C,UPPER CAB BACK’s,1,"44 1/4""","24 9/32""",1/2”,"44 1/4""","24 9/32""",1/2”,,VICENZA OAK,UPPER CAB BACK’s,228 GYM,,,,,
D,UPPER CAB BACK’s,1,"44 1/4""","24 3/32""",1/2”,"44 1/4""","24 3/32""",1/2”,,VICENZA OAK,UPPER CAB BACK’s,228 GYM,,,,,
