QTY,CustomerName,JobOrder,Name,DESC,LENGTH,WIDTH,THICK,WoodType,Grain,LabelImage,ProgramName,RotationStep,ProgramParameters,AdditionalMargin,Priority,OverProduction
1,biesse,bNest,UPPER_CAB_BACKs,RECT_Param,1123.95,613.57,12.7,VICENZA_OAK,0,UPPER_CAB_BACKs,RECTparam.bSolid,0,0,0,0,0
2,biesse,bNest,UPPER_CAB_BACKs,RECT_Param,1123.95,615.16,12.7,VICENZA_OAK,0,UPPER_CAB_BACKs,RECTparam.bSolid,0,0,0,0,0
1,biesse,bNest,UPPER_CAB_BACKs,RECT_Param,1123.95,616.74,12.7,VICENZA_OAK,0,UPPER_CAB_BACKs,RECTparam.bSolid,0,0,0,0,0
1,biesse,bNest,UPPER_CAB_BACKs,RECT_Param,1123.95,611.98,12.7,VICENZA_OAK,0,UPPER_CAB_BACKs,RECTparam.bSolid,0,0,0,0,0
2,biesse,bNest,CTR_CAB_LOWER_BACKs,RECT_Param,1200.15,638.17,12.7,VICENZA_OAK,0,CTR_CAB_LOWER_BACKs,RECTparam.bSolid,0,0,0,0,0
2,biesse,bNest,CTR_CAB_UPPER_BACKs,RECT_Param,1403.35,638.17,12.7,VICENZA_OAK,0,CTR_CAB_UPPER_BACKs,RECTparam.bSolid,0,0,0,0,0
2,biesse,bNest,CTR_CAB_TALL_BACKs,RECT_Param,2717.8,638.17,12.7,VICENZA_OAK,0,CTR_CAB_TALL_BACKs,RECTparam.bSolid,0,0,0,0,0
